Ticket Number,Project,Category,Severity,Priority,Task Type,Status,Ticket Owner,Assigned To,Summary,Date Submitted,Status Updated,Resolution Date,Target Date,Track Time,Latest Comments
T03997,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Query,New,Vig,,Resetting LMS Password,29-04-2025 15:11,29-04-2025 15:11,,06-05-2025 07:11,3 D,
T03579,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,,LMS - clearance status showing pending for valid visitors,10-03-2025 16:00,21-03-2025 14:42,19-03-2025 14:42,17-03-2025 08:00,24 D,User confirmed to close the ticket.
T03042,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Vig,Vig,LMS - 26 February-10 March Parliament Sitting Support,27-02-2025 11:39,17-03-2025 10:58,17-03-2025 10:58,06-03-2025 03:39,30 D,LMS Issue support completed.
T02819,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,Vig,LMS Audit Trait not showing any audit trait,06-02-2025 10:05,12-02-2025 15:35,10-02-2025 15:35,13-02-2025 02:05,43 D,User Confirmed on the issue.
T02799,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Low,Resolved,Vig,Vig,LMS New request did not appear at Action List for security screening,04-02-2025 15:14,20-02-2025 14:39,10-02-2025 14:39,11-02-2025 07:14,45 D,"Analysis shared with User for clarification. on 10 Feb 2025Analyzed the  logics for Action list, Visitor List, security screening list and security  screening edit pages for the reported issue. 
Action
 List page:The Security  Screening Request for Verification count is determined based on the event
 end date being 30 days or more from the current date (05 Feb 2025 when
 checked). However, since the event end date is 07 Feb 2025, it was not
 included in the count and instead moved to the expiring status
 category.   Visitor
 List page:The applicants
 status are displayed based on the event start date condition. As a
 result, the status are correctly shown as ""Pending"" on the
 page. Security
 screening List page:The Security
 Screening List page displayed the status as ""Expiring""
 because the event end date fell within the expiring condition of 30 days
 from the current date (05 Feb 2025 when checked). Security
 screening Edit page: 
 The applicants
 status are displayed without considering the event start date condition.
 As a result, the page incorrectly showed the previously cleared valid status
 instead of the expected pending status."
T02788,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,Vig,LMS - Issue with Attendance Log Page,03-02-2025 17:19,05-03-2025 16:00,03-02-2025 16:00,10-02-2025 09:19,46 D,"Root Cause: 
 
 Some Users records in the LMS application contain invalid
 Username. The Attendance Log page uses a substring function to
 mask the Username by trimming it from the 5th character. However, certain records
 have Username values with fewer than 5 characters, causing the error during
 attendance checks. Resolution: 
 
 Update  Username
 detail with valid Username data
 to resolve the issue."
T02780,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,Bug,Resolved,Vig,Vig,User not able to upload to LMS,03-02-2025 10:41,05-03-2025 16:01,03-02-2025 16:01,10-02-2025 02:41,46 D,User Confirmed to close the ticket
T02771,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,New,Vig,Vig,LMS - Source code Review,31-01-2025 16:27,05-03-2025 16:01,,07-02-2025 08:27,47 D,"Password of the attachment:
 ******@rl"
T02489,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Vig,Vig,LMS ALB Health check path,19-12-2024 16:50,17-03-2025 10:51,17-03-2025 10:51,26-12-2024 08:50,69 D,"Tebs AFM - Employee confirmed that this issue resolved.Resolution is added one more binding in the IIS for the LMS site, with port 80, ip all unassigned and without any hostname."
T02334,MTS 2024-2026(Jun),Learning Management System (LMS),Severity 3,Low,General,Resolved,Vig,Vig,LMS - update email configuration recipients,08-11-2024 16:11,05-03-2025 16:18,29-11-2024 16:18,15-11-2024 08:11,98 D,"It is a change request, we have explained to the user and confirmed to continue as Service request, Service request no. 2024-LMS-01 and CR no. TEBS-CR so closing the ticket."
